iter	Logloss
0	0.6553698435
1	0.6191374039
2	0.5896090799
3	0.5652228976
4	0.5374048819
5	0.5134999465
6	0.4935018539
7	0.478009212
8	0.463854565
9	0.4519954659
10	0.4410857028
11	0.4312298383
12	0.421083038
13	0.4131847558
14	0.4057898122
15	0.3993493661
16	0.3936112711
17	0.387648095
18	0.3814179042
19	0.3755516655
20	0.3712745899
21	0.3669474202
22	0.3627503427
23	0.3593696405
24	0.3569945403
25	0.3540026122
26	0.3510598698
27	0.3493543728
28	0.347111259
29	0.3453531764
30	0.3427206387
31	0.3404277184
32	0.3385059672
33	0.3356260232
34	0.3340749564
35	0.3324536586
36	0.3308407834
37	0.3294502952
38	0.3283867189
39	0.3268459616
40	0.3254609799
41	0.3233517017
42	0.321881302
43	0.3205717645
44	0.3191951281
45	0.3182216424
46	0.3167596808
47	0.315852729
48	0.3145700231
49	0.3133965373
50	0.3129818936
51	0.311819931
52	0.3109450238
53	0.3100681947
54	0.3092239648
55	0.3087693072
56	0.3075994259
57	0.3067286215
58	0.305963721
59	0.3051632019
60	0.304573251
61	0.3038314478
62	0.3031171705
63	0.3022642719
64	0.301560615
65	0.3009388321
66	0.3001856062
67	0.2998047089
68	0.2990846326
69	0.298419829
70	0.2973744825
71	0.2966214169
72	0.2960195273
73	0.2958030527
74	0.2953768282
75	0.2948395687
76	0.2945116553
77	0.2937905561
78	0.2931746908
79	0.2926651423
80	0.2921466911
81	0.2918492574
82	0.2912452455
83	0.2908055574
84	0.2903149673
85	0.2896737215
86	0.2888459813
87	0.2884293983
88	0.2878321209
89	0.2869642235
90	0.286239304
91	0.2858697286
92	0.2848569907
93	0.2842373675
94	0.2836394465
95	0.28303909
96	0.2826231731
97	0.2819495616
98	0.2816628573
99	0.2810810421
100	0.2807060609
101	0.280174328
102	0.2795910594
103	0.2791545513
104	0.2787735572
105	0.278526638
106	0.2780780702
107	0.2774145781
108	0.2770113824
109	0.2760707648
110	0.2757263016
111	0.2753852823
112	0.2751813081
113	0.2741507636
114	0.2735438263
115	0.2732777775
116	0.2728187901
117	0.2724710075
118	0.2718633022
119	0.2713323064
120	0.2710991472
121	0.2708005706
122	0.270338425
123	0.2699047788
124	0.2691238873
125	0.2686681074
126	0.2684458379
127	0.2681092575
128	0.267793665
129	0.2671519515
130	0.2668982748
131	0.2666894694
132	0.2663476525
133	0.2656519301
134	0.2649839747
135	0.2646897306
136	0.2640488395
137	0.263868617
138	0.2633537367
139	0.2626678834
140	0.2621056295
141	0.2616513489
142	0.261279416
143	0.2604940607
144	0.2599704782
145	0.2593474549
146	0.258925327
147	0.2586340273
148	0.2583223725
149	0.2579588062
150	0.2576767961
151	0.257382463
152	0.256843294
153	0.2560481985
154	0.2555905959
155	0.2548180494
156	0.2543544791
157	0.2537100645
158	0.2530095288
159	0.252517964
160	0.2519731914
161	0.251254759
162	0.2507049146
163	0.2502865922
164	0.2498518312
165	0.2493674911
166	0.2488219353
167	0.2484484173
168	0.2478272463
169	0.2474529463
170	0.2469684659
171	0.246177312
172	0.2457796372
173	0.2454698369
174	0.2449030635
175	0.2442912508
176	0.2438034635
177	0.2434967671
178	0.2430550184
179	0.2426002823
180	0.2421673718
181	0.2417465483
182	0.241205913
183	0.2404570687
184	0.2399156986
185	0.2395591002
186	0.2391295488
187	0.2387340516
188	0.2382268747
189	0.2376312576
190	0.2372101332
191	0.2367484314
192	0.2363955247
193	0.2357351899
194	0.2353550325
195	0.2348096549
196	0.2344045251
197	0.2337599293
198	0.2332906875
199	0.2329051464
200	0.2325568641
201	0.2321364298
202	0.2316036897
203	0.2308006892
204	0.2301854689
205	0.2296970119
206	0.2290129144
207	0.2285046463
208	0.2278306049
209	0.2274049497
210	0.2271280613
211	0.2268016733
212	0.2262739419
213	0.225567302
214	0.2249429533
215	0.2243471637
216	0.2238769823
217	0.2235712448
218	0.2231245433
219	0.2225075649
220	0.2219319941
221	0.2212781837
222	0.2210547179
223	0.2206734715
224	0.2204449574
225	0.2199228143
226	0.2195129904
227	0.2191011579
228	0.2186507933
229	0.2181726101
230	0.2175143647
231	0.216846462
232	0.2163063741
233	0.2156805277
234	0.2151635144
235	0.214623079
236	0.2140730398
237	0.2137965419
238	0.2133369511
239	0.2129725024
240	0.2124878396
241	0.2119973109
242	0.211440539
243	0.2108588247
244	0.2103776453
245	0.2098651325
246	0.2095979955
247	0.2088786599
248	0.2084882685
249	0.2081120108
250	0.2077298999
251	0.2072668129
252	0.2067576047
253	0.2064150345
254	0.2060354224
255	0.2056822216
256	0.2054610783
257	0.2049916078
258	0.2045186447
259	0.2039808868
260	0.2036115809
261	0.2034239729
262	0.2030392894
263	0.2026992336
264	0.2022768887
265	0.2018939463
266	0.2016584764
267	0.2012578918
268	0.2009567731
269	0.2005721508
270	0.1998985734
271	0.1997186797
272	0.1994313138
273	0.1989313837
274	0.1986453558
275	0.1982220101
276	0.197714451
277	0.1974691027
278	0.1971207111
279	0.1967413162
280	0.1963225292
281	0.1955941871
282	0.1951891326
283	0.1948431601
284	0.1946783565
285	0.1945210732
286	0.1937313452
287	0.1931596102
288	0.1928519042
289	0.192688819
290	0.1923579491
291	0.1917698429
292	0.19093868
293	0.1907295425
294	0.1901170943
295	0.1896843392
296	0.1891337699
297	0.1888599626
298	0.1884667312
299	0.1882528694
